Procedural Cornell-box dataset -- 100 scenes
==============================================================================

Generated by dataset/generate_dataset.py --seed 20260826
Per-scene detail is in dataset/metadata/scene_NNN.txt;
the scene files themselves are in dataset/scenes/.

Each render produces, in dataset/renders/:
  scene_NNN_radiance.exr      31-band spectral radiance
  scene_NNN_illumination.exr  31-band, the light alone
  scene_NNN_reflectance.exr   31-band, the surface alone
  scene_NNN.exr / .png        linear RGB and a tonemapped preview

radiance = reflectance * illumination, so the illumination cube
is per-pixel ground truth for the illuminant.

scene  kind       spheres  cubes  lights  materials  glass  mirror    spp walls
------------------------------------------------------------------------------
000    diffuse         15     17       5         36      0       0    512 red/green
001    diffuse          9      3       6         14      0       0    512 white
002    diffuse         10     11       4         23      0       0    512 white
003    diffuse         16     13       2         31      0       0    512 white
004    diffuse         10      3       1         15      0       0    512 white
005    diffuse         14     20       2         36      0       0    512 white
006    diffuse          6      0       2          8      0       0    512 white
007    diffuse         13      9       5         24      0       0    512 white
008    diffuse         12     11       6         25      0       0    512 white
009    diffuse         13     17       6         32      0       0    512 white
010    diffuse          1     11       3         16      0       0    512 red/green
011    diffuse          5     19       4         28      0       0    512 red/green
012    diffuse         11     16       4         29      0       0    512 white
013    diffuse         14     17       2         33      0       0    512 white
014    diffuse         14     12       6         28      0       0    512 white
015    diffuse         14     11       4         27      0       0    512 white
016    diffuse          6     16       2         24      0       0    512 white
017    diffuse         19     11       1         32      0       0    512 white
018    diffuse         10      9       5         21      0       0    512 white
019    diffuse          2     13       4         17      0       0    512 white
020    diffuse         13      9       6         26      0       0    512 red/green
021    diffuse          9      4       3         15      0       0    512 white
022    diffuse         20     10       4         32      0       0    512 white
023    diffuse          7     10       4         19      0       0    512 white
024    diffuse         12      4       4         20      0       0    512 red/green
025    diffuse          4      7       6         13      0       0    512 white
026    diffuse          4     11       4         17      0       0    512 white
027    diffuse          1     16       1         19      0       0    512 white
028    diffuse         16     13       6         31      0       0    512 white
029    diffuse         20     13       1         35      0       0    512 white
030    diffuse          5     12       5         19      0       0    512 white
031    diffuse          5     11       3         18      0       0    512 white
032    diffuse         10      7       5         19      0       0    512 white
033    diffuse         20     18       6         42      0       0    512 red/green
034    diffuse          8      1       6         11      0       0    512 white
035    diffuse         19     17       5         38      0       0    512 white
036    diffuse         15     16       6         33      0       0    512 white
037    diffuse         15      6       6         23      0       0    512 white
038    diffuse         14     10       5         26      0       0    512 white
039    diffuse         18     13       1         33      0       0    512 white
040    diffuse         20     19       5         41      0       0    512 white
041    diffuse         14      7       2         23      0       0    512 white
042    diffuse         16     11       3         31      0       0    512 red/green
043    diffuse          1      2       6          5      0       0    512 white
044    diffuse          0     12       5         14      0       0    512 white
045    diffuse         11      3       5         18      0       0    512 red/green
046    diffuse         17      7       4         26      0       0    512 white
047    diffuse         15      0       6         17      0       0    512 white
048    diffuse         14     15       6         31      0       0    512 white
049    diffuse          9     10       4         21      0       0    512 white
050    diffuse         18     17       4         37      0       0    512 white
051    diffuse         12      0       4         16      0       0    512 red/green
052    diffuse         17     19       6         40      0       0    512 red/green
053    diffuse         18     14       3         34      0       0    512 white
054    diffuse         16      4       3         22      0       0    512 white
055    diffuse          5      5       5         12      0       0    512 white
056    diffuse          8     15       5         25      0       0    512 white
057    diffuse         10      2       1         14      0       0    512 white
058    diffuse          1      9       1         12      0       0    512 white
059    diffuse         16      9       1         29      0       0    512 red/green
060    diffuse         13     16       5         33      0       0    512 red/green
061    diffuse         20      4       4         26      0       0    512 white
062    diffuse          7     11       2         20      0       0    512 white
063    diffuse          7     14       4         25      0       0    512 red/green
064    diffuse          0     18       3         22      0       0    512 red/green
065    diffuse          5     11       3         18      0       0    512 white
066    diffuse         16      9       1         27      0       0    512 white
067    diffuse          5      3       2         12      0       0    512 red/green
068    diffuse          9      8       6         19      0       0    512 white
069    diffuse         17      5       4         24      0       0    512 white
070    diffuse          4     20       4         26      0       0    512 white
071    diffuse         16     16       1         36      0       0    512 red/green
072    diffuse         16     20       5         38      0       0    512 white
073    diffuse         19     17       6         38      0       0    512 white
074    diffuse         18      7       6         27      0       0    512 white
075    diffuse          2      2       1          6      0       0    512 white
076    diffuse         19      2       6         23      0       0    512 white
077    diffuse         16      4       2         22      0       0    512 white
078    diffuse          9      9       1         20      0       0    512 white
079    diffuse          5      9       3         18      0       0    512 red/green
080    diffuse          3      4       6          9      0       0    512 white
081    diffuse         13     15       1         32      0       0    512 red/green
082    diffuse         14     12       3         28      0       0    512 white
083    diffuse          3     12       4         17      0       0    512 white
084    diffuse         19      7       3         30      0       0    512 red/green
085    diffuse         17     14       1         33      0       0    512 white
086    diffuse         16     18       3         36      0       0    512 white
087    diffuse          8     11       4         21      0       0    512 white
088    diffuse         10     17       2         29      0       0    512 white
089    diffuse          5     20       1         27      0       0    512 white
090    specular         7     15       6         26      5       3    512 red/green
091    specular         8     17       2         27      5       5    512 white
092    specular         1      5       6         10      2       4    512 red/green
093    specular         6     15       2         23      3       3    512 white
094    specular         4     18       1         24      3       5    512 white
095    specular        10      7       3         19      3       3    512 white
096    specular         3     17       3         22      5       2    512 white
097    specular         6      3       5         13      2       2    512 red/green
098    specular         3     16       5         21      4       4    512 white
099    specular         6      1       3         11      2       5    512 red/green

totals: 1072 spheres, 1076 cubes, 373 illuminants, 34 glass, 36 mirror
